team,team_name,date,result,opponent,home,points
ATL,Atlanta Hawks,2024-04-14,L,IND,False,115
ATL,Atlanta Hawks,2024-04-12,L,MIN,False,106
ATL,Atlanta Hawks,2024-04-10,L,CHA,True,114
ATL,Atlanta Hawks,2024-04-09,L,MIA,True,111
ATL,Atlanta Hawks,2024-04-06,L,DEN,False,110
ATL,Atlanta Hawks,2024-04-04,L,DAL,False,95
ATL,Atlanta Hawks,2024-04-03,W,DET,True,121
ATL,Atlanta Hawks,2024-04-01,W,CHI,False,113
ATL,Atlanta Hawks,2024-03-30,L,MIL,True,113
ATL,Atlanta Hawks,2024-03-28,W,BOS,True,123
ATL,Atlanta Hawks,2024-03-27,W,POR,True,120
ATL,Atlanta Hawks,2024-03-25,W,BOS,True,120
ATL,Atlanta Hawks,2024-03-23,W,CHA,True,132
ATL,Atlanta Hawks,2024-03-21,L,PHX,False,115
ATL,Atlanta Hawks,2024-03-18,L,LAL,False,105
ATL,Atlanta Hawks,2024-03-17,W,LAC,False,110
ATL,Atlanta Hawks,2024-03-15,L,UTA,False,122
ATL,Atlanta Hawks,2024-03-13,L,POR,False,102
ATL,Atlanta Hawks,2024-03-10,L,NOP,True,103
ATL,Atlanta Hawks,2024-03-08,W,MEM,False,99
ATL,Atlanta Hawks,2024-03-06,W,CLE,True,112
ATL,Atlanta Hawks,2024-03-05,W,NYK,False,116
ATL,Atlanta Hawks,2024-03-02,L,BKN,False,102
ATL,Atlanta Hawks,2024-02-29,L,BKN,False,97
ATL,Atlanta Hawks,2024-02-27,W,UTA,True,124
ATL,Atlanta Hawks,2024-02-25,W,ORL,True,109
ATL,Atlanta Hawks,2024-02-23,L,TOR,True,121
ATL,Atlanta Hawks,2024-02-14,L,CHA,False,99
ATL,Atlanta Hawks,2024-02-12,L,CHI,True,126
ATL,Atlanta Hawks,2024-02-10,W,HOU,True,122
ATL,Atlanta Hawks,2024-02-09,W,PHI,False,127
ATL,Atlanta Hawks,2024-02-07,L,BOS,False,117
ATL,Atlanta Hawks,2024-02-05,L,LAC,True,144
ATL,Atlanta Hawks,2024-02-03,W,GSW,True,141
ATL,Atlanta Hawks,2024-02-02,W,PHX,True,129
ATL,Atlanta Hawks,2024-01-30,W,LAL,True,138
ATL,Atlanta Hawks,2024-01-28,W,TOR,True,126
ATL,Atlanta Hawks,2024-01-26,L,DAL,True,143
ATL,Atlanta Hawks,2024-01-24,L,GSW,False,112
ATL,Atlanta Hawks,2024-01-22,L,SAC,False,107
ATL,Atlanta Hawks,2024-01-20,L,CLE,True,95
ATL,Atlanta Hawks,2024-01-19,W,MIA,False,109
ATL,Atlanta Hawks,2024-01-17,W,ORL,True,106
ATL,Atlanta Hawks,2024-01-15,W,SAS,True,109
ATL,Atlanta Hawks,2024-01-13,L,WAS,True,99
ATL,Atlanta Hawks,2024-01-12,L,IND,True,108
ATL,Atlanta Hawks,2024-01-10,W,PHI,True,139
ATL,Atlanta Hawks,2024-01-07,L,ORL,False,110
ATL,Atlanta Hawks,2024-01-05,L,IND,False,116
ATL,Atlanta Hawks,2024-01-03,W,OKC,True,141
ATL,Atlanta Hawks,2023-12-31,W,WAS,False,130
ATL,Atlanta Hawks,2023-12-29,L,SAC,True,110
ATL,Atlanta Hawks,2023-12-26,L,CHI,False,113
ATL,Atlanta Hawks,2023-12-23,L,MEM,True,119
ATL,Atlanta Hawks,2023-12-22,L,MIA,False,113
ATL,Atlanta Hawks,2023-12-20,W,HOU,False,134
ATL,Atlanta Hawks,2023-12-18,W,DET,True,130
ATL,Atlanta Hawks,2023-12-16,L,CLE,False,119
ATL,Atlanta Hawks,2023-12-15,W,TOR,False,125
ATL,Atlanta Hawks,2023-12-13,L,TOR,False,128
ATL,Atlanta Hawks,2023-12-11,L,DEN,True,122
ATL,Atlanta Hawks,2023-12-08,L,PHI,False,114
ATL,Atlanta Hawks,2023-12-06,L,BKN,True,113
ATL,Atlanta Hawks,2023-12-02,L,MIL,False,121
ATL,Atlanta Hawks,2023-11-30,W,SAS,False,137
ATL,Atlanta Hawks,2023-11-28,L,CLE,False,105
ATL,Atlanta Hawks,2023-11-26,L,BOS,False,103
ATL,Atlanta Hawks,2023-11-25,W,WAS,False,136
ATL,Atlanta Hawks,2023-11-22,W,BKN,True,147
ATL,Atlanta Hawks,2023-11-21,L,IND,True,152
ATL,Atlanta Hawks,2023-11-17,L,PHI,True,116
ATL,Atlanta Hawks,2023-11-15,L,NYK,True,114
ATL,Atlanta Hawks,2023-11-14,W,DET,False,126
ATL,Atlanta Hawks,2023-11-11,L,MIA,True,109
ATL,Atlanta Hawks,2023-11-09,W,ORL,False,120
ATL,Atlanta Hawks,2023-11-06,L,OKC,False,117
ATL,Atlanta Hawks,2023-11-04,W,NOP,False,123
ATL,Atlanta Hawks,2023-11-01,W,WAS,True,130
ATL,Atlanta Hawks,2023-10-30,W,MIN,True,127
ATL,Atlanta Hawks,2023-10-29,W,MIL,False,127
ATL,Atlanta Hawks,2023-10-27,L,NYK,True,120
ATL,Atlanta Hawks,2023-10-25,L,CHA,False,110
BOS,Boston Celtics,2024-04-14,W,WAS,True,132
BOS,Boston Celtics,2024-04-12,W,CHA,True,131
BOS,Boston Celtics,2024-04-11,L,NYK,True,109
BOS,Boston Celtics,2024-04-09,L,MIL,False,91
BOS,Boston Celtics,2024-04-07,W,POR,True,124
BOS,Boston Celtics,2024-04-05,W,SAC,True,101
BOS,Boston Celtics,2024-04-03,W,OKC,True,135
BOS,Boston Celtics,2024-04-01,W,CHA,False,118
BOS,Boston Celtics,2024-03-30,W,NOP,False,104
BOS,Boston Celtics,2024-03-28,L,ATL,False,122
BOS,Boston Celtics,2024-03-25,L,ATL,False,118
BOS,Boston Celtics,2024-03-23,W,CHI,False,124
BOS,Boston Celtics,2024-03-22,W,DET,False,129
BOS,Boston Celtics,2024-03-20,W,MIL,True,122
BOS,Boston Celtics,2024-03-18,W,DET,True,119
BOS,Boston Celtics,2024-03-17,W,WAS,False,130
BOS,Boston Celtics,2024-03-14,W,PHX,True,127
BOS,Boston Celtics,2024-03-12,W,UTA,False,123
BOS,Boston Celtics,2024-03-11,W,POR,False,121
BOS,Boston Celtics,2024-03-09,W,PHX,False,117
BOS,Boston Celtics,2024-03-07,L,DEN,False,109
BOS,Boston Celtics,2024-03-05,L,CLE,False,104
BOS,Boston Celtics,2024-03-03,W,GSW,True,140
BOS,Boston Celtics,2024-03-01,W,DAL,True,138
BOS,Boston Celtics,2024-02-27,W,PHI,True,117
BOS,Boston Celtics,2024-02-24,W,NYK,False,116
BOS,Boston Celtics,2024-02-22,W,CHI,False,129
BOS,Boston Celtics,2024-02-14,W,BKN,True,136
BOS,Boston Celtics,2024-02-13,W,BKN,False,118
BOS,Boston Celtics,2024-02-11,W,MIA,False,110
