Passer,Receiver,Team,Passes,Assists
Domantas Sabonis,Malik Monk,SAC,1044,94
Domantas Sabonis,DeMar DeRozan,SAC,879,82
Malik Monk,Domantas Sabonis,SAC,849,132
DeMar DeRozan,Domantas Sabonis,SAC,557,64
Malik Monk,DeMar DeRozan,SAC,523,54
Keegan Murray,Domantas Sabonis,SAC,410,21
Keon Ellis,Domantas Sabonis,SAC,410,23
DeMar DeRozan,Malik Monk,SAC,383,47
Keegan Murray,Malik Monk,SAC,377,13
Keon Ellis,DeMar DeRozan,SAC,373,14
Domantas Sabonis,Zach LaVine,SAC,359,35
Domantas Sabonis,Keegan Murray,SAC,320,63
Keon Ellis,Malik Monk,SAC,316,9
Keegan Murray,DeMar DeRozan,SAC,302,15
Zach LaVine,DeMar DeRozan,SAC,301,15
Domantas Sabonis,Keon Ellis,SAC,293,27
DeMar DeRozan,Keegan Murray,SAC,278,68
DeMar DeRozan,Keon Ellis,SAC,257,40
Zach LaVine,Domantas Sabonis,SAC,251,28
Trey Lyles,Malik Monk,SAC,241,8
Keon Ellis,Zach LaVine,SAC,239,10
Trey Lyles,DeMar DeRozan,SAC,237,12
DeMar DeRozan,Zach LaVine,SAC,233,33
Malik Monk,Keon Ellis,SAC,228,32
Malik Monk,Keegan Murray,SAC,212,36
Keegan Murray,Keon Ellis,SAC,184,16
Malik Monk,Zach LaVine,SAC,173,20
Jonas Valančiūnas,Zach LaVine,SAC,169,17
Zach LaVine,Keon Ellis,SAC,168,13
Jonas Valančiūnas,Malik Monk,SAC,165,6
Zach LaVine,Malik Monk,SAC,165,11
Jonas Valančiūnas,DeMar DeRozan,SAC,162,15
Trey Lyles,Keon Ellis,SAC,159,13
Malik Monk,Trey Lyles,SAC,158,17
Keegan Murray,Zach LaVine,SAC,153,10
DeMar DeRozan,Trey Lyles,SAC,149,25
Keon Ellis,Keegan Murray,SAC,145,25
Zach LaVine,Jonas Valančiūnas,SAC,140,16
Keon Ellis,Trey Lyles,SAC,134,15
Trey Lyles,Zach LaVine,SAC,132,6
Zach LaVine,Keegan Murray,SAC,110,18
Trey Lyles,Domantas Sabonis,SAC,98,5
Jonas Valančiūnas,Keon Ellis,SAC,94,6
Zach LaVine,Trey Lyles,SAC,92,11
Malik Monk,Jonas Valančiūnas,SAC,89,15
Domantas Sabonis,Trey Lyles,SAC,84,12
Devin Carter,DeMar DeRozan,SAC,82,4
DeMar DeRozan,Jonas Valančiūnas,SAC,80,15
Trey Lyles,Devin Carter,SAC,80,3
Keon Ellis,Jonas Valančiūnas,SAC,79,4
Jake LaRavia,Zach LaVine,SAC,77,7
Trey Lyles,Keegan Murray,SAC,72,11
Jake LaRavia,Malik Monk,SAC,66,1
Devin Carter,Trey Lyles,SAC,50,6
Devin Carter,Zach LaVine,SAC,49,2
Jake LaRavia,Keon Ellis,SAC,49,2
Jake LaRavia,DeMar DeRozan,SAC,49,5
Keegan Murray,Trey Lyles,SAC,48,3
DeMar DeRozan,Devin Carter,SAC,47,6
Zach LaVine,Jake LaRavia,SAC,43,3
Keegan Murray,Jonas Valančiūnas,SAC,43,3
Devin Carter,Domantas Sabonis,SAC,43,3
Domantas Sabonis,Devin Carter,SAC,41,2
Malik Monk,Jake LaRavia,SAC,40,1
Jonas Valančiūnas,Keegan Murray,SAC,39,5
DeMar DeRozan,Jake LaRavia,SAC,38,2
Devin Carter,Jonas Valančiūnas,SAC,37,2
Jake LaRavia,Jonas Valančiūnas,SAC,35,0
Devin Carter,Malik Monk,SAC,34,0
Zach LaVine,Devin Carter,SAC,33,1
Jake LaRavia,Trey Lyles,SAC,32,6
Keon Ellis,Jake LaRavia,SAC,32,2
Jonas Valančiūnas,Jake LaRavia,SAC,31,3
Keegan Murray,Devin Carter,SAC,30,3
Jonas Valančiūnas,Devin Carter,SAC,30,0
Trey Lyles,Jonas Valančiūnas,SAC,30,2
Devin Carter,Keon Ellis,SAC,25,3
Malik Monk,Devin Carter,SAC,24,3
Devin Carter,Keegan Murray,SAC,23,3
Keon Ellis,Devin Carter,SAC,19,0
Domantas Sabonis,Jake LaRavia,SAC,18,1
Trey Lyles,Jake LaRavia,SAC,18,5
Jake LaRavia,Devin Carter,SAC,18,1
Jake LaRavia,Domantas Sabonis,SAC,18,0
Jake LaRavia,Keegan Murray,SAC,17,2
Keegan Murray,Jake LaRavia,SAC,12,1
Jonas Valančiūnas,Trey Lyles,SAC,12,3
Devin Carter,Jake LaRavia,SAC,11,5
Domantas Sabonis,Jonas Valančiūnas,SAC,3,2
Jonas Valančiūnas,Domantas Sabonis,SAC,2,1
Chris Paul,Stephon Castle,SAS,686,71
Chris Paul,Victor Wembanyama,SAS,662,121
Harrison Barnes,Chris Paul,SAS,605,12
Chris Paul,Devin Vassell,SAS,590,76
Stephon Castle,Chris Paul,SAS,559,13
Devin Vassell,Chris Paul,SAS,530,8
Chris Paul,Harrison Barnes,SAS,527,106
Victor Wembanyama,Chris Paul,SAS,453,17
Keldon Johnson,Stephon Castle,SAS,436,15
Harrison Barnes,Stephon Castle,SAS,408,16
Julian Champagnie,Chris Paul,SAS,382,4
Jeremy Sochan,Chris Paul,SAS,374,17
