season,team,team_abb,player,position,games,minutes_per_game
2023-24,Atlanta Hawks,ATL,Trae Young,G,54,36.0
2023-24,Atlanta Hawks,ATL,Dejounte Murray,G,78,35.7
2023-24,Atlanta Hawks,ATL,Jalen Johnson,F,56,33.7
2023-24,Atlanta Hawks,ATL,Saddiq Bey,G-F,63,32.7
2023-24,Atlanta Hawks,ATL,Bogdan Bogdanović,G,79,30.4
2023-24,Atlanta Hawks,ATL,De'Andre Hunter,F-G,57,29.5
2023-24,Atlanta Hawks,ATL,Clint Capela,C,73,25.8
2023-24,Atlanta Hawks,ATL,Onyeka Okongwu,F-C,55,25.5
2023-24,Atlanta Hawks,ATL,Vít Krejčí,G,22,24.6
2023-24,Atlanta Hawks,ATL,Bruno Fernando,F-C,45,15.2
2023-24,Atlanta Hawks,ATL,Garrison Mathews,G,66,15.0
2023-24,Atlanta Hawks,ATL,Mouhamed Gueye,F,6,12.1
2023-24,Atlanta Hawks,ATL,Kobe Bufkin,G,17,11.5
2023-24,Atlanta Hawks,ATL,Wesley Matthews,G,36,11.5
2023-24,Atlanta Hawks,ATL,Trent Forrest,G,38,10.9
2023-24,Atlanta Hawks,ATL,AJ Griffin,F,20,8.5
2023-24,Atlanta Hawks,ATL,Dylan Windler,G-F,17,6.4
2023-24,Atlanta Hawks,ATL,Seth Lundy,G-F,9,5.8
2023-24,Boston Celtics,BOS,Jayson Tatum,F-G,74,35.7
2023-24,Boston Celtics,BOS,Jaylen Brown,G-F,70,33.5
2023-24,Boston Celtics,BOS,Jrue Holiday,G,69,32.8
2023-24,Boston Celtics,BOS,Derrick White,G,73,32.6
2023-24,Boston Celtics,BOS,Kristaps Porziņģis,F-C,57,29.6
2023-24,Boston Celtics,BOS,Al Horford,C-F,65,26.8
2023-24,Boston Celtics,BOS,Payton Pritchard,G,82,22.3
2023-24,Boston Celtics,BOS,Sam Hauser,F,79,22.0
2023-24,Boston Celtics,BOS,Xavier Tillman,F,54,18.0
2023-24,Boston Celtics,BOS,Luke Kornet,C-F,63,15.6
2023-24,Boston Celtics,BOS,Neemias Queta,C,28,11.9
2023-24,Boston Celtics,BOS,Oshae Brissett,F-G,55,11.5
2023-24,Boston Celtics,BOS,Jaden Springer,G,49,10.3
2023-24,Boston Celtics,BOS,Svi Mykhailiuk,G-F,41,10.1
2023-24,Boston Celtics,BOS,Jordan Walsh,G,9,9.3
2023-24,Boston Celtics,BOS,Drew Peterson,F,3,7.6
2023-24,Boston Celtics,BOS,JD Davison,G,8,4.9
2023-24,Cleveland Cavaliers,CLE,Donovan Mitchell,G,55,35.3
2023-24,Cleveland Cavaliers,CLE,Darius Garland,G,57,33.3
2023-24,Cleveland Cavaliers,CLE,Max Strus,G-F,70,32.0
2023-24,Cleveland Cavaliers,CLE,Jarrett Allen,C,77,31.7
2023-24,Cleveland Cavaliers,CLE,Evan Mobley,C,50,30.6
2023-24,Cleveland Cavaliers,CLE,Caris LeVert,G,68,28.8
2023-24,Cleveland Cavaliers,CLE,Isaac Okoro,F-G,69,27.3
2023-24,Cleveland Cavaliers,CLE,Georges Niang,F,82,22.3
2023-24,Cleveland Cavaliers,CLE,Dean Wade,F-C,54,20.5
2023-24,Cleveland Cavaliers,CLE,Sam Merrill,G,61,17.5
2023-24,Cleveland Cavaliers,CLE,Marcus Morris Sr.,F,49,16.7
2023-24,Cleveland Cavaliers,CLE,Craig Porter Jr.,G,51,12.7
2023-24,Cleveland Cavaliers,CLE,Tristan Thompson,C-F,49,11.2
2023-24,Cleveland Cavaliers,CLE,Emoni Bates,F,15,8.9
2023-24,Cleveland Cavaliers,CLE,Ty Jerome,G-F,2,7.4
