TeamID,TeamName,TeamSlug,Conference,WINS,LOSSES,WinPCT,PlayoffRank,ConferenceRecord
1610612739,Cavaliers,cavaliers,East,64,18,0.78,1,41-11
1610612760,Thunder,thunder,West,68,14,0.829,1,39-13
1610612738,Celtics,celtics,East,61,21,0.744,2,39-13
1610612745,Rockets,rockets,West,52,30,0.634,2,31-21
1610612747,Lakers,lakers,West,50,32,0.61,3,36-16
1610612752,Knicks,knicks,East,51,31,0.622,3,34-18
1610612743,Nuggets,nuggets,West,50,32,0.61,4,32-20
1610612754,Pacers,pacers,East,50,32,0.61,4,29-22
1610612749,Bucks,bucks,East,48,34,0.585,5,31-21
1610612746,Clippers,clippers,West,50,32,0.61,5,29-23
1610612750,Timberwolves,timberwolves,West,49,33,0.598,6,33-19
1610612765,Pistons,pistons,East,44,38,0.537,6,29-23
1610612753,Magic,magic,East,41,41,0.5,7,31-21
1610612744,Warriors,warriors,West,48,34,0.585,7,29-23
1610612737,Hawks,hawks,East,40,42,0.488,8,30-22
1610612763,Grizzlies,grizzlies,West,48,34,0.585,8,27-24
1610612758,Kings,kings,West,40,42,0.488,9,26-26
1610612741,Bulls,bulls,East,39,43,0.476,9,28-24
1610612742,Mavericks,mavericks,West,39,43,0.476,10,23-29
1610612748,Heat,heat,East,37,45,0.451,10,24-28
1610612761,Raptors,raptors,East,30,52,0.366,11,21-31
1610612756,Suns,suns,West,36,46,0.439,11,22-30
1610612757,Trail Blazers,blazers,West,36,46,0.439,12,19-33
1610612751,Nets,nets,East,26,56,0.317,12,14-37
1610612755,76ers,sixers,East,24,58,0.293,13,15-37
1610612759,Spurs,spurs,West,34,48,0.415,13,22-30
1610612766,Hornets,hornets,East,19,63,0.232,14,10-42
1610612740,Pelicans,pelicans,West,21,61,0.256,14,13-38
1610612764,Wizards,wizards,East,18,64,0.22,15,13-39
1610612762,Jazz,jazz,West,17,65,0.207,15,8-44 
